Российская Федерация,73.3
    Центральный федеральный округ,69.4
        Белгородская область,70.5
        Брянская область,70.7
        Владимирская область,73.3
        Воронежская область,74
        Ивановская область,76.3
        Калужская область,70.2
        Костромская область,88
        Курская область,76.3
        Липецкая область,76.9
        Московская область,68.8
        Орловская область,87.9
        Рязанская область,74.5
        Смоленская область,85.4
        Тамбовская область,74.3
        Тверская область,82.7
        Тульская область,78.9
        Ярославская область,80.5
        г. Москва ,58.2
    Северо-Западный федеральный округ,73.2
        Республика Карелия,67.9
        Республика Коми,91
            Ненецкий автономный округ (Архангельская область),95.6
        Вологодская область,72.2
        Калининградская область,71.7
        Ленинградская область,62.7
        Мурманская область,71.3
        Новгородская область,79.5
        Псковская область,75.1
        г. Санкт-Петербург,73.5
        Архангельская обл. без данных по Ненецкому авт. окр.,76.1
    Южный федеральный округ (с 28.07.2016),73.8
        Республика Адыгея (Адыгея),67.1
        Республика Калмыкия,73.9
        Республика Крым,75.1
        Краснодарский край,71.7
        Астраханская область,76.4
        Волгоградская область,77.8
        Ростовская область,74.9
        г. Севастополь,61.5
    Северо-Кавказский федеральный округ (с 03.06.2014),67.9
        Республика Дагестан,63.8
        Республика Ингушетия,48.9
        Кабардино-Балкарская Республика,77
        Карачаево-Черкесская Республика,70
        Республика Северная Осетия - Алания,78.6
        Чеченская Республика,60.1
        Ставропольский край,73.5
    Приволжский федеральный округ,73.5
        Республика Башкортостан,73.7
        Республика Марий Эл,80.7
        Республика Мордовия,71.8
        Республика Татарстан (Татарстан),58.4
        Удмуртская Республика,76.5
        Чувашская Республика - Чувашия,79.2
        Пермский край,73.4
        Кировская область,78.6
        Нижегородская область,78.4
        Оренбургская область,77.4
        Пензенская область,74.1
        Самарская область,69.8
        Саратовская область,81.1
        Ульяновская область,78.4
    Уральский федеральный округ,71.5
        Курганская область,84.7
        Свердловская область,73.5
            Ханты-Мансийский автономный округ - Югра (Тюменская область),76.3
            Ямало-Ненецкий автономный округ (Тюменская область),80.1
        Челябинская область,66.3
        Тюменская обл.без данных по Ханты-Мансийскому и Ямало-Ненецкому авт. окр.,61.8
    Сибирский федеральный округ,80.1
        Республика Алтай,74.9
        Республика Тыва,108.3
        Республика Хакасия,68.9
        Алтайский край,87.4
        Красноярский край,69.7
        Иркутская область,88.9
        Кемеровская область,79.5
        Новосибирская область,85.5
        Омская область,72.4
        Томская область,87
    Дальневосточный федеральный округ,83.4
        Республика Бурятия,70.3
        Республика Саха (Якутия),92.4
        Забайкальский край,73.7
        Камчатский край,95.6
        Приморский край,77.2
        Хабаровский край,70
        Амурская область,80
        Магаданская область,113.2
        Сахалинская область,108.1
        Еврейская автономная область,93.2
        Чукотский автономный округ,130.2
